"Signatur","Titel","Zeit","Ort"
"Sozarch_F_5033-Da-018","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: LVZ Werbung im Tagblatt der Stadt Zürich","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Da-019","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: Einladung und Menu (Blindtext)","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Da-020","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: Lastwagen mit Slogan ""LVZ bietet mehr""","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Da-021","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: Selbstbedienungswagen mit Slogan ""LVZ bietet mehr""","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Da-022","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: Selbstbedienungswagen, Rückseite","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Da-023","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: Selbstbedienungswagen","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Da-024","Lastwagen der Firma ""Gold-Star"" auf der Rampe, ca. 1980","Neuzeit;20. Jh.;1951-2000;1971-1980 /Neuzeit;20. Jh.;1951-2000;1981-1990","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Da-025","Lastwagen in der Auslieferung (Turbinenstrasse?), ca. 1980","Neuzeit;20. Jh.;1951-2000;1971-1980 /Neuzeit;20. Jh.;1951-2000;1981-1990","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Da-026","Eisenbahnwaggon in der Auslieferung (Turbinenstrasse?), ca. 1980","Neuzeit;20. Jh.;1951-2000;1971-1980 /Neuzeit;20. Jh.;1951-2000;1981-1990","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Da-027","Getränkelager LVZ, ca. 1980","Neuzeit;20. Jh.;1951-2000;1971-1980 /Neuzeit;20. Jh.;1951-2000;1981-1990","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Da-028","Garage mit Selbstbedienungswagen LVZ, ca. 1980","Neuzeit;20. Jh.;1951-2000;1971-1980 /Neuzeit;20. Jh.;1951-2000;1981-1990","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Da-029","Zentrale des LVZ, ca. 1980","Neuzeit;20. Jh.;1951-2000;1971-1980 /Neuzeit;20. Jh.;1951-2000;1981-1990","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Da-030","Holzharasse mit Äpfeln beim Lager an der Turbinenstrasse, Zürich, ca. 1960","Neuzeit;20. Jh.;1951-2000;1951-1960","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Da-031","Besucher einer Betriebsbesichtigung (?), gestapelte Holzharasse mit Äpfeln, ca. 1955","Neuzeit;20. Jh.;1951-2000;1951-1960","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Da-032","Gestapelte Holzharasse mit Äpfeln, ca. 1955","Neuzeit;20. Jh.;1951-2000;1951-1960","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Da-033","Metzger mit Fleisch, ca. 1980","Neuzeit;20. Jh.;1951-2000;1971-1980 /Neuzeit;20. Jh.;1951-2000;1981-1990","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Da-034","Metzger überwacht die Brätproduktion, ca. 1980","Neuzeit;20. Jh.;1951-2000;1971-1980 /Neuzeit;20. Jh.;1951-2000;1981-1990","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Da-035","Metzger beim Zerteilen von Fleisch, ca. 1980","Neuzeit;20. Jh.;1951-2000;1971-1980 /Neuzeit;20. Jh.;1951-2000;1981-1990","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Dc-001","Luftbild Zentrale LVZ, Turbinenstrasse Zürich, im Hintergrund Hochhaus Migros Herdern und Teile von Höngg, ca. 1965",,
"Sozarch_F_5033-Dc-002","Verkäuferin bei der Spirituosenbestandeskontrolle in einer Filiale, ca. 1975","Neuzeit;20. Jh.;1951-2000;1961-1970 /Neuzeit;20. Jh.;1951-2000;1971-1980","Europa;Schweiz;Zürich, Kanton"
